episode,cost,reward
0,74982.89961115002,-74.98289961115002
1,89021.97762047232,-89.02197762047228
2,96707.33802631359,-96.70733802631358
3,105646.69392140374,-105.64669392140377
4,92374.52716098132,-92.37452716098133
5,90229.64824481613,-90.22964824481615
6,98433.5350036235,-98.43353500362355
7,89884.12957863742,-89.8841295786374
8,77940.6199126823,-77.94061991268237
9,77911.82845383004,-77.91182845383004
10,90150.7412994971,-90.1507412994971
11,96726.38940382782,-96.72638940382784
12,87713.50422979434,-87.71350422979437
13,74476.49224949587,-74.47649224949588
14,86378.46085709688,-86.37846085709684
15,78931.61636889073,-78.93161636889076
16,96551.54719092743,-96.55154719092744
17,66909.70738613233,-66.90970738613235
18,108425.76895349081,-108.42576895349082
19,86207.53931691255,-86.20753931691257
20,74418.57965021065,-74.41857965021063
21,78544.9235165098,-78.54492351650981
22,70158.83388452025,-70.15883388452023
23,90282.29561869151,-90.28229561869152
24,82964.68552075044,-82.96468552075045
25,62094.88543977674,-62.094885439776746
26,92221.32809388115,-92.22132809388111
27,73306.49156585176,-73.30649156585179
28,77841.66050259676,-77.84166050259677
29,92299.92804110514,-92.29992804110515
30,100687.53214891315,-100.6875321489132
31,82320.43315204159,-82.32043315204153
32,79692.54791856401,-79.69254791856407
33,83916.25043864925,-83.91625043864929
34,77463.03140243735,-77.46303140243737
35,91698.66083253149,-91.69866083253146
36,111504.30820558328,-111.50430820558333
37,99278.11670257371,-99.27811670257367
38,92715.35458324764,-92.71535458324763
39,119495.870721541,-119.49587072154098
40,88232.07645905748,-88.23207645905745
41,81288.2179772103,-81.28821797721031
42,62327.133184493985,-62.327133184493974
43,88997.66278437887,-88.99766278437883
44,86796.06080052505,-86.79606080052505
45,83545.36087396178,-83.54536087396177
46,93295.81086157743,-93.29581086157744
47,92767.74921474863,-92.76774921474862
48,96353.2259646162,-96.3532259646162
49,72030.49242205192,-72.03049242205194
